,country,city,parameter,avg_24h,pm10_aqi,pm25_aqi
273,FR,Haut-Rhin,no2,13.892452910261333,0.0,0.0
274,GB,Brighton and Hove,o3,49.046668192545575,0.0,0.0
275,FR,Ardennes,pm25,2.3166667222976685,0.0,9.65277800957362
276,FR,Seine-et-Marne,o3,66.72222193965206,0.0,0.0
277,FR,Saint-Leu,pm10,9.700000127156576,8.981481599219052,0.0
278,FR,Gironde,pm10,17.653333335452608,16.34567901430797,0.0
279,FR,Nièvre,no2,3.5888888902134366,0.0,0.0
280,FR,Indre,pm25,4.340000033378601,0.0,18.08333347241084
281,FR,Cher,no2,8.778125007404014,0.0,0.0
282,FR,Somme,no2,6.0227272727272725,0.0,0.0
283,FR,Loire,pm25,2.813636367971247,0.0,11.723484866546864
284,FR,French Guiana,no2,5.473684237191551,0.0,0.0
285,GB,Horley,no2,11.0,0.0,0.0
286,FR,Bas-Rhin,pm10,7.603225828178467,7.040023914980062,0.0
287,FR,Vosges,o3,53.97777790493436,0.0,0.0
288,FR,Saint-Pierre,pm10,17.024999856948853,15.763888756434122,0.0
289,FR,Pas-de-Calais,pm25,3.957142846924918,0.0,16.488095195520494
290,GB,Plymouth,no2,16.4,0.0,0.0
291,FR,Nord,o3,45.17692326975393,0.0,0.0
292,FR,Paris,pm25,6.085714408329555,0.0,25.357143368039814
293,FR,Seine-Saint-Denis,no2,20.381944404708015,0.0,0.0
294,FR,Pyrénées-Orientales,o3,80.33750009536743,0.0,0.0
295,FR,Hauts-de-Seine,o3,62.72999992370605,0.0,0.0
296,FR,Indre-et-Loire,o3,65.71500091552734,0.0,0.0
297,FR,Calvados,pm25,6.5,0.0,27.083333333333336
298,GB,South East,no2,36.4,0.0,0.0
299,FR,Drôme,pm25,2.7218749932944775,0.0,11.341145805393657
300,FR,Landes,pm10,16.93043501480766,15.676328717414501,0.0
301,GB,Chichester,no2,24.953649593204478,0.0,0.0
302,GB,Lambeth,pm10,34.874439461883405,32.29114764989204,0.0
303,FR,Meurthe-et-Moselle,pm25,5.5575757207292495,0.0,23.156565503038543
304,GB,Oxford,no2,26.1,0.0,0.0
305,GB,Aberdeen,no2,37.5,0.0,0.0
306,GB,Bexley,no2,13.979746850985515,0.0,0.0
307,GB,Hackney,pm10,14.016216271632427,12.977978029289284,0.0
308,GB,Lewisham,pm25,3.6974999949336054,0.0,15.406249978890024
309,GB,Warrington,no2,18.2,0.0,0.0
310,FR,Jura,pm10,10.862499982118607,10.057870353813525,0.0
311,GB,Storrington,no2,21.666666666666668,0.0,0.0
312,FR,Reunion,no2,6.508333416448699,0.0,0.0
313,FR,Essonne,o3,69.27187478542328,0.0,0.0
314,FR,Bouches-du-Rhône,no2,4.836842075382409,0.0,0.0
315,FR,Indre,pm10,10.190000057220459,9.435185238167092,0.0
316,GB,Wrexham,no2,13.2,0.0,0.0
317,FR,Hérault,o3,76.95555538601346,0.0,0.0
318,FR,Drôme,pm10,6.406249970197678,5.93171293536822,0.0
319,GB,Swfrryd,no2,77.0,0.0,0.0
320,GB,Hastings,pm10,7.648888889948527,7.082304527730117,0.0
321,GB,South West,no2,12.8,0.0,0.0
322,GB,Horsham,no2,16.023026322063647,0.0,0.0
323,GB,Newham,pm10,10.351851851851851,9.585048010973937,0.0
324,FR,Marne,pm25,3.7416666646798453,0.0,15.590277769499357
325,FR,Bouches-du-Rhône,pm10,17.04915251974332,15.786252333095666,0.0
326,FR,Charente-Maritime,no2,14.549999940395356,0.0,0.0
327,GB,Bush Estate,no2,2.0,0.0,0.0
328,GB,Havering,pm10,11.453676485840012,10.605256005407417,0.0
329,FR,Bas-Rhin,no2,11.085714272090367,0.0,0.0
330,FR,Charente-Maritime,o3,63.527272484519266,0.0,0.0
331,GB,Glazebury,no2,6.8,0.0,0.0
332,GB,Charlton,no2,7.6,0.0,0.0
333,FR,Somme,pm25,4.150000001896512,0.0,17.291666674568802
334,FR,Vaucluse,o3,76.75999908447265,0.0,0.0
335,GB,Dumbarton,no2,9.8,0.0,0.0
336,FR,Rhône,pm25,3.6444444435614125,0.0,15.185185181505886
337,FR,Haute-Savoie,pm25,4.555555507540703,0.0,18.981481281419597
338,FR,Bouches-du-Rhône,pm25,3.6410256379689927,0.0,15.170940158204138
339,GB,Wicken Fen,no2,5.4,0.0,0.0
340,GB,Billingham,no2,13.4,0.0,0.0
341,GB,Camden,no2,31.188990741694738,0.0,0.0
342,FR,Yonne,o3,65.15357153756278,0.0,0.0
343,GB,Barking and Dagenham,no2,10.427810639319334,0.0,0.0
344,GB,Hackney,o3,35.27631576437699,0.0,0.0
345,FR,Saint-Pierre,o3,47.27500057220459,0.0,0.0
346,FR,Haute-Loire,pm10,6.049999992052714,5.601851844493254,0.0
347,FR,Cher,o3,64.87000007629395,0.0,0.0
348,FR,Cher,pm10,11.211764644174014,10.381263559420384,0.0
349,FR,Seine-Saint-Denis,pm10,25.635714054107666,23.736772272321915,0.0
350,GB,Yorkshire,no2,23.0,0.0,0.0
351,FR,Vienne,co,182.9,0.0,0.0
352,FR,Creuse,pm10,8.350000063578287,7.731481540350266,0.0
353,FR,Pyrénées-Atlantiques,o3,72.40500030517578,0.0,0.0
354,FR,Côte-d'Or,no2,8.817241346013956,0.0,0.0
355,GB,Leominster,no2,1.0,0.0,0.0
356,FR,Vaucluse,pm10,12.700000190734864,11.759259435865614,0.0
357,GB,Richmond,pm10,7.19795919681082,6.664777034084093,0.0
358,FR,Haute-Savoie,o3,60.374193499165195,0.0,0.0
359,FR,Essonne,pm10,6.933333237965901,6.419752998116575,0.0
360,GB,Southampton,no2,33.5,0.0,0.0
361,FR,Gard,no2,13.209999930858611,0.0,0.0
362,FR,Indre,o3,66.2347823433254,0.0,0.0
363,FR,Ain,pm10,7.041176543516271,6.519607910663214,0.0
364,GB,Chatham,no2,32.2,0.0,0.0
365,FR,Aisne,no2,4.829999947547913,0.0,0.0
366,FR,Loire,pm10,6.72307694875277,6.225071248845158,0.0
367,GB,Blackpool,no2,10.8,0.0,0.0
368,GB,Wigan,no2,13.8,0.0,0.0
369,GB,Ealing,no2,29.102049104502942,0.0,0.0
370,FR,Drôme,no2,5.565625028684735,0.0,0.0
371,GB,Manchester,no2,22.533333333333335,0.0,0.0
372,FR,Indre-et-Loire,no2,9.821875005960464,0.0,0.0
373,FR,Lot-et-Garonne,pm10,15.399999936421713,14.259259200390474,0.0
374,FR,French Guiana,o3,22.166667075384233,0.0,0.0
375,GB,Grangemouth,no2,4.8,0.0,0.0
376,FR,Ain,pm25,3.1,0.0,12.916666666666668
377,FR,Loiret,pm25,4.284999978542328,0.0,17.8541665772597
378,FR,Doubs,pm10,9.532142852033887,8.826058196327674,0.0
379,FR,Côte-d'Or,pm25,4.270000064373017,0.0,17.79166693488757
380,GB,Stoke-on-Trent,no2,38.4,0.0,0.0
381,FR,Hautes-Alpes,pm10,8.576923113602858,7.941595475558201,0.0
382,FR,Ardennes,pm10,6.150000015894572,5.694444459161641,0.0
383,GB,Haringey,o3,58.95442996447599,0.0,0.0
384,FR,Rhône,co,193.77777777777777,0.0,0.0
385,FR,Nord,no2,17.677931073616293,0.0,0.0
386,GB,Chichester,pm10,11.507500106096268,10.655092690829878,0.0
387,GB,N/A,pm25,7.0,0.0,29.166666666666668
388,FR,Gironde,no2,13.08714288036738,0.0,0.0
389,FR,Haute-Vienne,no2,11.878124918788671,0.0,0.0
390,FR,Pas-de-Calais,no2,8.846913523144192,0.0,0.0
391,FR,Yvelines,no2,5.609999978542328,0.0,0.0
392,FR,Finistère,no2,39.369999694824216,0.0,0.0
393,FR,Somme,pm10,15.485714163099017,14.338624225091682,0.0
394,FR,Vienne,pm10,13.981250047683716,12.94560189600344,0.0
395,FR,Doubs,o3,57.85250034332275,0.0,0.0
396,FR,Vienne,no2,9.250000047683717,0.0,0.0
397,FR,Corrèze,no2,4.9882352772881005,0.0,0.0
398,FR,Saône-et-Loire,o3,60.57000045776367,0.0,0.0
399,FR,Meuse,pm10,13.799999952316284,12.77777773362619,0.0
400,GB,Bexley,o3,50.63374989032745,0.0,0.0
401,GB,Yorkshire & Humberside,no2,56.0,0.0,0.0
402,FR,Vienne,o3,66.3849998474121,0.0,0.0
403,FR,Eure-et-Loir,pm10,8.453571455819267,7.827380977610432,0.0
404,GB,Reading,o3,44.275001257658005,0.0,0.0
405,FR,Landes,o3,63.16666571299235,0.0,0.0
406,FR,Loir-et-Cher,pm10,8.949999904632568,8.28703694873386,0.0
407,GB,Camden,o3,30.648718858376526,0.0,0.0
408,FR,Loir-et-Cher,o3,68.21000022888184,0.0,0.0
409,FR,Seine-Maritime,pm10,22.058333079020183,20.424382480574245,0.0
410,FR,Eure-et-Loir,no2,11.295454361222006,0.0,0.0
411,FR,Seine-Saint-Denis,o3,64.99499988555908,0.0,0.0
412,GB,Hampshire,o3,59.04054239633921,0.0,0.0
413,FR,Charente,pm10,12.65833350022634,11.72067916687624,0.0
414,GB,City of London,pm10,9.688172043010752,8.9705296694544,0.0
415,FR,Tarn,pm10,9.528571571622576,8.82275145520609,0.0
416,FR,Indre-et-Loire,pm10,10.074999958276749,9.328703665071064,0.0
417,FR,Corrèze,o3,58.682353636797735,0.0,0.0
418,GB,Camden,pm10,13.377777777777778,12.386831275720166,0.0
419,FR,Aube,pm10,7.6333333651224775,7.067901264002294,0.0
